Mnis Id,Member,Party,Donations Penalty,Employment Penalty,Gifts Penalty,Overseas Penalty,Property Penalty,Shareholdings Penalty,Family Penalty,Miscellaneous Penalty,Raw Interest Penalty,Concentration Penalty,Rectification Count,Transparency Penalty,Total Raw Penalty,Calibration K,Final Score,Grade
4607,Stephanie Peacock,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,81.0,100.0,A+
4264,Stephen Doughty,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,81.0,100.0,A+
4735,Stephen Flynn,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,81.0,100.0,A+
4357,Kirsty Blackman,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.75,1.75,10.0,0,0.0,11.75,81.0,87.33153638814017,A-
4742,Stuart Anderson,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0,0.0,12.0,81.0,87.09677419354838,A-
4444,Karin Smyth,,0.0,0.0,3.5,0.0,0.0,0.0,0.0,0.0,3.5,10.0,0,0.0,13.5,81.0,85.71428571428571,A-
4491,Vicky Foxcroft,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,10.0,0,0.0,14.0,81.0,85.26315789473685,A-
4384,Mike Wood,,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0,0.0,15.0,81.0,84.375,B+
4638,Mr Tanmanjeet Singh Dhesi,,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,5.25,10.0,0,0.0,15.25,81.0,84.15584415584416,B+
4032,Stuart Andrew,,0.0,0.0,0.0,5.25,0.0,0.0,0.0,0.0,5.25,10.0,0,0.0,15.25,81.0,84.15584415584416,B+
429,Derek Twigg,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.75,6.75,10.0,0,0.0,16.75,81.0,82.86445012787723,B+
4697,Órfhlaith Begley,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,10.0,0,0.0,18.5,81.0,81.4070351758794,B+
4828,Paula Barker,,9.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,14.0,6.0,0,0.0,20.0,81.0,80.1980198019802,B+
4362,Edward Argar,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.75,11.75,10.0,0,0.0,21.75,81.0,78.83211678832116,B
